Date,ADBE,BA,CAT,COST,CSCO,CVS,GS,HD,HON,INTC,MCD,MDLZ,NKE,ORCL,PEP,PM,QCOM,T,TXN,UNH,^GSPC
2020-10-01,447.1000061035156,144.38999938964844,142.3472137451172,329.5673522949219,30.87921142578125,47.68694305419922,167.7852325439453,236.36509704589844,149.1497344970703,39.741172790527344,190.02835083007812,47.395259857177734,112.31002807617188,52.21574783325195,114.54330444335938,55.9864501953125,110.85205841064453,14.385494232177734,125.65673828125,282.1349792480469,3269.9599609375
2020-11-01,478.4700012207031,210.7100067138672,158.29983520507812,361.73236083984375,37.344757080078125,58.12312316894531,204.65464782714844,245.84771728515625,184.3868865966797,43.394004821777344,193.98951721191406,51.25861358642578,125.9840316772461,53.9315071105957,123.94464874267578,59.7151985168457,132.24786376953125,15.681422233581543,141.14193725585938,310.9827880859375,3621.6298828125
2020-12-01,500.1199951171875,214.05999755859375,165.98727416992188,347.8916931152344,38.84653091430664,58.56040573120117,234.0596466064453,235.3990020751953,193.2275390625,45.03853988647461,192.57577514648438,52.16868209838867,132.3159637451172,60.44401550292969,127.44223022460938,65.2649917602539,136.8936309814453,15.68687629699707,143.66282653808594,324.24169921875,3756.070068359375
2021-01-01,458.7699890136719,194.19000244140625,166.73500061035156,333.9322814941406,38.6989631652832,61.43267822265625,241.9927978515625,241.3161163330078,177.48411560058594,50.18244171142578,186.52688598632812,49.73324966430664,125.19722747802734,56.463626861572266,118.1980972290039,63.697776794433594,141.04026794433594,15.615968704223633,145.02825927734375,309.5404968261719,3714.239990234375
2021-02-01,459.6700134277344,212.00999450683594,197.91226196289062,313.6270751953125,39.2665901184082,58.805362701416016,285.1047058105469,230.19569396972656,183.8251495361328,54.9466552734375,185.0012664794922,47.68794631958008,126.31246948242188,60.506492614746094,111.81086730957031,67.19256591796875,122.90934753417969,15.570755958557129,151.70211791992188,308.278564453125,3811.14990234375
2021-03-01,475.3699951171875,254.72000122070312,212.5714111328125,334.6391296386719,45.25240707397461,64.93362426757812,291.8155822753906,271.99517822265625,198.07041931152344,58.208805084228516,202.39312744140625,52.50517654418945,124.79438018798828,65.81522369384766,122.421630859375,70.96723937988281,119.6603775024414,16.89948844909668,166.4258575439453,345.25677490234375,3972.889892578125
2021-04-01,508.3399963378906,234.30999755859375,209.12432861328125,353.25665283203125,44.55230712890625,65.9435043334961,312.1790771484375,290.2157897949219,203.51783752441406,52.324256896972656,213.1746826171875,54.837528228759766,124.54086303710938,71.08644104003906,125.76332092285156,76.99372100830078,125.86180877685547,17.53594207763672,158.9582977294922,371.3751220703125,4181.169921875
2021-05-01,504.5799865722656,247.02000427246094,222.01390075683594,359.8929748535156,46.62567901611328,75.09895324707031,333.29559326171875,285.94775390625,210.69900512695312,51.95135498046875,211.19712829589844,57.290374755859375,128.1469268798828,74.17290496826172,129.0609130859375,78.15269470214844,121.99888610839844,16.804584503173828,168.07936096191406,383.5928649902344,4204.10986328125
2021-06-01,585.6400146484375,239.55999755859375,200.41847229003906,376.44775390625,46.71381759643555,72.4925308227539,341.17218017578125,285.9298400878906,201.0003662109375,51.3745231628418,209.73045349121094,56.307437896728516,145.3712921142578,73.32511901855469,129.2615966796875,80.32472229003906,129.60682678222656,16.43343162536621,170.27536010742188,372.9024658203125,4297.5
2021-07-01,621.6300048828125,226.47999572753906,190.39889526367188,408.843505859375,48.80271911621094,71.55423736572266,336.9922180175781,295.8116149902344,214.2323760986328,49.15994644165039,220.37179565429688,57.332706451416016,157.62277221679688,82.08570098876953,137.9214630126953,82.1037368774414,136.5296173095703,16.0166015625,168.7877197265625,385.2782287597656,4395.259765625
